IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
205.198.64.235,4,4,0.00,67.68,6.10,HKG
219.76.13.166,4,4,0.00,83.59,5.97,HKG
219.76.13.183,4,4,0.00,64.72,5.92,HKG
160.22.79.174,4,4,0.00,106.21,5.86,SIN
8.212.48.236,4,4,0.00,69.05,5.60,HKG
219.76.13.177,4,4,0.00,76.96,5.48,HKG
51.79.254.182,4,4,0.00,105.14,5.33,SIN
203.9.150.104,4,4,0.00,73.91,5.20,HKG
8.222.243.42,4,4,0.00,98.64,5.02,SIN
43.249.172.15,4,4,0.00,65.12,4.59,HKG
206.237.0.40,4,4,0.00,94.73,4.51,HKG
219.76.13.180,4,4,0.00,67.88,4.27,HKG
156.254.114.104,4,4,0.00,91.14,4.11,HKG
8.222.165.104,4,4,0.00,99.94,3.03,SIN
156.234.17.144,4,4,0.00,67.58,1.06,HKG
47.76.218.163,4,4,0.00,92.88,1.01,HKG
54.169.229.188,4,4,0.00,106.22,0.90,SIN
47.239.1.168,4,4,0.00,80.08,0.33,HKG
172.93.165.228,4,4,0.00,97.20,0.02,HKG
43.128.26.74,4,4,0.00,78.49,0.01,HKG
