IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
2a06:98c1:3122:7a:bc64:fc18:f5a7:2293,4,4,0.00,65.82,4.06,HKG
2606:4700:3037:df9:f031:3bf8:d800:d118,4,4,0.00,69.94,0.79,HKG
2606:4700:3036:90eb:ac3c:79c0:5e84:9cb5,4,4,0.00,63.11,0.51,HKG
2a06:98c1:3120:0:b9bc:eebc:81b0:5001,4,4,0.00,66.57,0.45,HKG
2a06:98c1:3121:0:e1cc:d4aa:3f4:af6c,4,4,0.00,69.84,0.24,HKG
2606:4700:f4::67a:2727:d111,4,4,0.00,69.81,0.15,HKG
2606:4700:a8:21eb:db17:2a8a:13ec:dd51,4,4,0.00,62.62,0.14,HKG
2606:4700:3036:90eb:ac3c:79c0:178e:4152,4,4,0.00,68.72,0.11,HKG
2a06:98c1:3120:8e77:223d:e71b:2799:fb4b,4,4,0.00,65.07,0.11,HKG
2606:4700:3037:df9:f0f5:7449:647d:2f47,4,4,0.00,62.13,0.00,HKG
