IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
2a06:98c1:3122::5c6e:380:f1bb,4,4,0.00,77.91,3.88,HKG
2606:4700:3035:0:9c:7324:c44e:ecbd,4,4,0.00,75.06,0.51,HKG
2a06:98c1:3121:237:86b6:e56b:8182:d9a4,4,4,0.00,78.45,0.32,HKG
2606:4700:a8:ac59:2635:52e8:648d:354,4,4,0.00,79.59,0.24,HKG
2606:4700:3032:e2:27cd:ba15:bdf3:961e,4,4,0.00,83.48,0.20,HKG
2606:4700:3031:0:cecd:75de:a71f:3373,4,4,0.00,84.03,0.18,HKG
2606:4700:3034:0:319e:4898:5e08:2d73,4,4,0.00,75.61,0.15,HKG
2606:4700:3035:ab69:a73d:bbc5:895f:737d,4,4,0.00,82.63,0.15,HKG
2606:4700:3031:0:f3e1:485e:d1a:42d9,4,4,0.00,83.63,0.15,HKG
2606:4700:3035:abb3:6280:3858:7bd7:ce2a,4,4,0.00,82.33,0.14,HKG
2606:4700:3037:8c2c:d645:9a94:3f75:b2c8,4,4,0.00,85.19,0.14,HKG
2606:4700:3036:c1ad:f135:3c6d:8d6b:f423,4,4,0.00,74.97,0.14,HKG
2606:4700:3031:b6e8:ec46:bab9:1ebb:978f,4,4,0.00,83.27,0.13,HKG
2606:4700:3034:6962:d64:74f5:cc13:3ba8,4,4,0.00,81.60,0.12,HKG
2606:4700:3034:0:319e:48a5:b2ab:ef03,4,4,0.00,82.94,0.12,HKG
2606:4700:3034:fd:8a0c:dc17:6d41:3f45,4,4,0.00,78.40,0.11,HKG
2606:4700:3035:c:b4ec:f18b:c7ce:2962,4,4,0.00,81.51,0.10,HKG
2606:4700:3037:0:5c73:42b4:5c47:c84c,4,4,0.00,81.55,0.03,HKG
2a06:98c1:3120:afac:e594:a165:1bac:ad60,4,4,0.00,84.45,0.03,HKG
2606:4700:3034:fb:ee9a:d1cc:6e6d:f510,4,4,0.00,85.43,0.00,HKG
